部署,等級,勤続年数,月間残業時間,エンゲージメント,退職
人事,G2,6.0,25.6,67.2,在籍
開発,G3,20.4,40.9,51.3,在籍
営業,G1,7.6,43.8,49.7,退職
製造,G2,1.6,31.9,55.5,在籍
営業,G2,2.4,48.2,50.4,在籍
開発,G1,5.2,16.8,75.1,在籍
経理,G1,2.4,26.8,68.3,退職
経理,G2,12.2,33.2,74.7,在籍
製造,G1,1.4,5.2,81.7,在籍
開発,G1,7.6,30.8,74.5,在籍
製造,G1,1.1,12.8,77.2,在籍
製造,G2,5.1,23.8,70.4,在籍
開発,G1,2.1,55.9,61.7,在籍
製造,G3,8.6,47.4,66.1,在籍
営業,G2,10.8,24.6,73.0,在籍
営業,G1,6.8,37.8,72.6,在籍
開発,G2,11.2,45.7,43.2,在籍
営業,G1,0.3,36.3,59.6,在籍
営業,G1,5.9,36.4,61.1,在籍
人事,G2,7.6,30.9,75.0,在籍
経理,G2,8.3,44.2,72.4,退職
製造,G1,7.2,34.1,53.9,在籍
人事,G1,8.4,14.3,84.6,在籍
経理,G3,5.9,36.0,54.8,在籍
営業,G1,1.6,41.8,51.1,在籍
開発,G1,3.4,41.5,58.6,在籍
開発,G3,12.2,53.6,55.1,退職
営業,G2,11.3,35.7,53.7,在籍
製造,G5,7.5,30.6,71.3,在籍
開発,G2,8.8,40.9,67.3,在籍
開発,G2,10.4,17.4,81.2,在籍
営業,G3,7.4,34.3,61.5,在籍
営業,G1,12.0,24.6,70.2,在籍
人事,G3,11.7,16.1,74.0,在籍
営業,G5,24.6,54.2,73.7,在籍
営業,G1,3.5,37.5,40.9,退職
営業,G1,3.6,31.7,57.6,在籍
開発,G1,7.0,31.8,65.8,退職
製造,G5,18.0,31.7,61.0,在籍
開発,G3,12.6,52.1,56.4,在籍
営業,G1,9.5,22.9,69.6,在籍
営業,G2,13.2,33.5,61.9,退職
人事,G1,7.7,35.5,64.8,在籍
製造,G1,4.2,0.7,83.7,在籍
製造,G5,20.9,27.8,70.0,在籍
製造,G3,7.3,20.5,67.6,在籍
製造,G3,11.6,23.7,69.5,在籍
営業,G1,0.3,26.5,66.1,在籍
開発,G1,0.4,39.5,47.3,在籍
開発,G2,6.1,60.8,55.9,退職
開発,G1,2.4,34.4,59.8,在籍
人事,G1,6.5,29.2,76.3,在籍
開発,G1,3.5,59.9,56.5,在籍
製造,G4,26.9,20.7,85.5,在籍
人事,G2,11.0,47.6,52.3,在籍
開発,G3,14.1,41.3,60.9,在籍
人事,G1,0.6,45.6,48.3,退職
製造,G3,9.4,33.5,60.5,在籍
人事,G2,4.6,31.0,74.8,在籍
開発,G3,14.3,40.5,75.2,在籍
開発,G1,8.5,31.1,57.9,在籍
開発,G1,5.2,38.8,58.6,在籍
営業,G1,1.8,41.9,59.1,退職
開発,G2,6.0,39.5,66.4,在籍
経理,G3,12.1,23.7,57.7,在籍
製造,G1,14.8,19.2,61.8,在籍
営業,G1,4.0,42.9,63.6,退職
開発,G5,24.1,57.9,44.6,退職
営業,G2,11.4,26.3,66.3,在籍
営業,G1,2.5,24.6,68.9,在籍
経理,G3,2.0,31.4,67.6,在籍
開発,G1,4.9,54.8,53.7,在籍
開発,G1,4.0,50.6,53.7,在籍
製造,G2,7.7,9.8,82.2,在籍
営業,G1,5.5,29.1,68.7,在籍
営業,G1,4.3,21.8,64.6,在籍
製造,G2,1.2,20.7,69.3,在籍
製造,G3,8.7,42.8,64.2,退職
経理,G1,1.1,8.4,87.4,退職
製造,G3,11.4,7.4,84.0,在籍
開発,G1,0.6,28.9,74.3,退職
製造,G2,1.0,26.8,61.7,在籍
人事,G1,2.4,32.8,60.0,退職
製造,G1,3.7,26.8,65.3,在籍
経理,G1,3.1,36.9,61.2,在籍
製造,G1,3.7,2.6,70.4,在籍
人事,G2,6.6,40.7,71.2,在籍
営業,G1,2.5,28.6,72.5,在籍
製造,G1,6.6,30.0,64.2,在籍
開発,G1,0.3,23.4,72.4,在籍
製造,G3,2.4,25.3,69.0,在籍
製造,G2,0.9,26.2,71.9,在籍
経理,G2,11.4,38.3,54.1,在籍
経理,G1,2.8,6.6,74.8,在籍
営業,G3,8.3,35.5,64.1,在籍
製造,G2,0.7,11.7,77.7,在籍
製造,G3,14.6,30.8,63.8,在籍
開発,G1,5.8,46.5,40.0,在籍
営業,G2,5.3,47.8,50.0,在籍
営業,G1,1.2,26.1,66.1,在籍
製造,G1,2.1,32.2,64.6,在籍
開発,G1,4.4,53.0,68.1,退職
経理,G2,2.2,7.5,79.6,在籍
開発,G3,10.6,47.9,60.2,退職
経理,G2,5.6,36.1,63.2,在籍
開発,G2,2.2,36.8,70.4,退職
製造,G2,9.5,10.3,71.8,在籍
営業,G2,3.9,44.0,58.3,退職
製造,G2,9.2,10.4,67.9,在籍
製造,G4,3.4,24.8,78.5,在籍
経理,G1,7.9,23.6,72.7,在籍
製造,G1,3.8,29.9,60.4,在籍
営業,G3,10.6,28.3,67.6,退職
開発,G1,0.8,30.5,68.3,在籍
営業,G2,1.6,34.7,61.0,在籍
営業,G1,4.7,43.1,56.0,在籍
製造,G2,2.9,48.8,52.0,在籍
製造,G2,3.7,7.0,78.5,在籍
